"File","RGroup","Space Value"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","a.cool.forb","0.0193575549901908"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","a.warm.forb","0.0129050366601272"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","p.cool.forb","0.103240293281018"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","p.warm.forb","0.0258100733202544"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","p.cool.grass","0.298177435851403"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","p.warm.grass","0.448266581365237"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","shrub","0.0126257767499689"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","succulents","0.0347255971152441"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","sagebrush","0.0513198862686242"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","a.cool.forb","0.019092184424081"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","a.warm.forb","0.0127281229493873"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","p.cool.forb","0.101824983595098"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","p.warm.forb","0.0254562458987746"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","p.cool.grass","0.291926529686198"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","p.warm.grass","0.451576840494511"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","shrub","0.0144337180130505"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","succulents","0.0316414886702754"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","sagebrush","0.0808669229380851"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","a.cool.forb","0.019338527957863"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","a.warm.forb","0.0128923519719087"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","p.cool.forb","0.10313881577527"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","p.warm.forb","0.0257847039438174"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","p.cool.grass","0.318370390646439"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","p.warm.grass","0.380787194971514"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","shrub","0.0227438220763364"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","succulents","0.0360772697187664"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","sagebrush","0.120266378277726"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","a.cool.forb","0.0164241384529615"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","a.warm.forb","0.0109494256353077"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","p.cool.forb","0.0875954050824613"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","p.warm.forb","0.0218988512706153"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","p.cool.grass","0.280659298412417"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","p.warm.grass","0.39797352358581"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","shrub","0.0338249188906104"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","succulents","0.030408060392091"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","sagebrush","0.111679951540041"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","a.cool.forb","0.018958456668069"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","a.warm.forb","0.012638971112046"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","p.cool.forb","0.101111768896368"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","p.warm.forb","0.025277942224092"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","p.cool.grass","0.303201081257863"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","p.warm.grass","0.356439060478282"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","shrub","0.0314099863706364"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","succulents","0.0392827814526036"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","sagebrush","0.06260313343465"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","a.cool.forb","0.0184713734949691"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","a.warm.forb","0.012314248996646"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","p.cool.forb","0.0985139919731683"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","p.warm.forb","0.0246284979932921"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","p.cool.grass","0.241520526569128"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","p.warm.grass","0.478933529691055"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","shrub","0.0176071312784953"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","succulents","0.0454075665685963"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","sagebrush","0.0933899361530186"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","a.cool.forb","0.0182354149899846"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","a.warm.forb","0.0121569433266564"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","p.cool.forb","0.0972555466132512"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","p.warm.forb","0.0243138866533128"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","p.cool.grass","0.314522098092737"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","p.warm.grass","0.387266318438341"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","shrub","0.0262659195430365"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","succulents","0.0265939361896622"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","sagebrush","0.0720483988651799"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","a.cool.forb","0.0178352305446008"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","a.warm.forb","0.0118901536964005"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","p.cool.forb","0.0951212295712043"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","p.warm.forb","0.0237803073928011"
