"RGroup","File Name","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"sagebrush","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","-0.001315222","-0.001315222","-0.010521774","-0.01556612","-0.026093629","-0.04970072","0.037345035","0.013671862","0.018065356","0.038060877","-0.001315222","-0.001315222"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","-0.00606093100000001","-0.012121862","-0.03763141","-0.057873847","0.033555031","0.029071015","0.051062004","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","0","0","-0.026362862","-0.059540034","-0.041269165","0.026235094","0.039821124","0.023253833","0.03786201","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","-0.00606093100000001","-0.012121862","-0.03763141","-0.057873847","0.033555031","0.029071015","0.051062004","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","0","0","-0.026362862","-0.059540034","-0.041269165","0.026235094","0.039821124","0.023253833","0.03786201","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","-0.002283318","-0.004566636","-0.00684995299999999","-0.017381174","-0.015191053","0.087884436","0.008946878","0","0","-0.045992544","-0.002283318","-0.002283318"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","-0.005881086","-0.011762171","-0.034855666","-0.044937527","0.017320121","0.029599311","0.01846187","0.032055149","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","0","0","-0.014224872","-0.051192504","-0.10988075","0.07802385","0.00042589400000001","0.061073254","0.035775128","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","-0.002628733","-0.010514932","-0.015634217","-0.026084154","-0.049685404","0.03735936","0.013680554","0.018071516","0.038064743","-0.001314367","0.011185633"
"succulents","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","0","0","-0.005787747","-0.017102025","-0.026551099","-0.024496783","-0.022493847","0.00258408500000001","0.022827166","0.032595743","-0.005787747","0.044212253"
"sagebrush","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","-0.002360495","0.068616041","-0.00213778000000001","-0.016511468","0.000214890999999995","-0.049324033","-0.020203207","-0.007617842","0.004957613","0.029087271","-0.002360495","-0.002360495"
"a.cool.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0.03941819","0.028836379","0.036747053","0.037428355","-0.097431599","-0.05281713","-0.012620309","0.020439061","0","0","0","0"
"a.warm.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0","0","0.056247339","0.045434227","-0.033045977","-0.070753512","-0.035568327","0.000574712999999991","0.007684121","0.029427416","0","0"
"p.cool.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0.03941819","0.028836379","0.036747053","0.037428355","-0.097431599","-0.05281713","-0.012620309","0.020439061","0","0","0","0"
"p.warm.forb","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0","0","0.056247339","0.045434227","-0.033045977","-0.070753512","-0.035568327","0.000574712999999991","0.007684121","0.029427416","0","0"
"a.cool.grass","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0.04141639","0.037124585","0.01960311","0.053056618","-0.085002194","-0.017646874","0.002069095","0","0","-0.042037118","-0.004291805","-0.004291805"
"p.cool.grass","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0.039527192","0.029054384","0.039782031","0.012872092","-0.077476549","-0.050891937","-0.013896871","0.00123895199999999","0.019790707","0","0","0"
"p.warm.grass","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0","0","0.026871401","0.021923651","0.035700576","-0.091618682","-0.030454255","-0.021880998","0.032586906","0.026871401","0","0"
"shrub","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0.020079326","0.055317303","-0.003294221","-0.017579739","-0.00126425399999999","-0.051300061","-0.021481298","-0.008527516","0.00429336700000001","0.028677767","-0.002460337","0.010039663"
"succulents","sxwphen.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0","0.039666993","0.020519099","0.003003591","-0.023653281","-0.033728371","-0.036643813","-0.020714985","0.002459462","0.019757319","-0.010333007","0.039666993"
